longitude,latitude
139.7677,35.6427
-104.9847,39.7392
135.52,34.6864
139.7172,35.5206
135.52,34.6864
139.69,35.69
135.9667,35.0167
135.5333,34.75
135.5333,34.75
153.0547,-26.7179
-74.0386,40.7291
-77.6843,43.286
-121.561,38.6961
139.69,35.69
135.7556,35.0214
-0.1,51.55
136.7167,35.1667
139.69,35.69
141.3,38.4167
139.7677,35.6427
-157.8389,21.3209
-118.3884,33.8492
-111.6332,40.4647
139.69,35.69
139.7677,35.6427
-117.8973,34.0249
-84.318,33.9432
134.0433,34.3403
-106.6511,35.0845
139.7677,35.6427
132.45,34.4
139.7677,35.6427
135.7556,35.0214
-73.5568,40.7225
-74.2111,40.7104
-77.2497,38.6582
-122.6307,48.8645
-81.3466,39.4411
139.69,35.69
132.4594,34.3963
139.9,35.7833
144.9544,-37.8103
-96.8915,32.9478
139.7677,35.6427
139.69,35.69
-87.6517,41.8483
-97.822,37.751
-97.3738,30.5852
139.7677,35.6427
135.7556,35.0214
135.4667,34.5833
115.4072,-33.7296
-2.9833,51.5833
139.7677,35.6427
144.9833,-37.8333
139.69,35.69
139.7677,35.6427
-97.822,37.751
-80.1702,40.2713
-77.113,38.8747
135.7556,35.0214
-91.5133,41.6695
139.9247,35.7197
132.85,34.8
144.9544,-37.8103
-92.5218,43.9621
-95.8302,29.7397
-73.8783,40.7354
135.52,34.6864
-77.4807,40.0458
139.5522,35.6556
139.7677,35.6427
-120.4102,34.821
-82.0176,41.4969
139.7677,35.6427
139.7677,35.6427
77.2,28.6
139.69,35.69
139.69,35.69
130.8333,33.8333
139.7677,35.6427
139.69,35.69
136.8667,35.3333
-119.7696,34.4386
-118.4298,34.0355
153.0215,-27.4732
139.69,35.69
-93.2793,44.8784
139.69,35.69
139.69,35.69
139.69,35.69
-86.2539,32.404
-81.3792,28.5383
-106.5178,35.0995
132.4594,34.3963
139.69,35.69
139.69,35.69
133.935,34.6617
135.52,34.6864
144.9544,-37.8103
-119.2267,34.2863
151.0833,-33.9667
-77.4728,39.0481
-78.3662,40.5172
-95.6972,29.9691
-110.95,32.2476
-110.8309,32.299
133.2,34.4167
-112.1646,33.4936
-96.7913,43.6746
-74.3871,41.0849
-87.6272,41.8801
-97.822,37.751
-1.1667,52.9667
-80.0248,40.4344
-91.6064,43.9848
139.0608,36.3911
144.9544,-37.8103
153.0188,-27.4891
135.52,34.6864
135.52,34.6864
139.0167,36.3333
139.7677,35.6427
136.0167,35.05
-80.2553,40.1582
-97.7373,30.176
-97.822,37.751
133.935,34.6617
139.7536,35.9764
-119.3809,36.4063
-90.4954,41.8389
145.2833,-37.8
-77.0969,38.8865
-69.7567,44.4051
-81.326,41.1352
-73.8185,40.7946
-98.5,39.76
-0.1224,51.4964
139.69,35.69
139.3833,36.1333
139.9824,36.316
140.1167,36.0833
-122.0117,37.9137
-3,53.4167
-119.8005,34.454
151.2002,-33.8591
-0.0955,51.5092
139.7677,35.6427
-73.9339,40.6485
133.935,34.6617
-0.0955,51.5092
-110.3607,31.5273
139.69,35.69
130.5581,31.5602
138.3831,34.9769
-97.822,37.751
139.69,35.69
0.1299,51.5758
149.0888,-35.3998
-115.183,36.1443
-117.0431,34.0336
-74.046,41.1163
139.7677,35.6427
-73.9301,40.7721
-76.0192,36.9205
139.7677,35.6427
138.6723,-34.8516
-91.0432,41.4245
139.7677,35.6427
-77.6843,43.286
139.3544,35.5531
139.7677,35.6427
139.69,35.69
135.7556,35.0214
-105.1144,39.8938
-71.2231,42.0166
-122.3284,47.6026
-122.1206,47.6801
-122.4959,45.4677
-112.2725,33.4223
139.69,35.69
-77.3375,38.8357
135.7556,35.0214
130.4181,33.6064
0.6833,51.7167
139.69,35.69
-1.4068,53.3485
-80.1702,40.2713
-3,53.4167
131.3667,31.6
-85.5602,42.2694
135.52,34.6864
-106.6406,35.0757
-80.1702,40.2713
-1.5833,53.8
151.1982,-33.8612
135.4167,34.7667
-0.0955,51.5092
-73.7562,42.6526
-80.6748,35.4198
-77.2086,39.0182
-77.049,38.8932
-120.4102,34.821
-0.7721,0.38
-95.9658,41.295
-120.4102,34.821
-119.7072,34.4194
150.8238,-33.7458
139.69,35.69
139.7677,35.6427
144.8,-37.7333
-2.9833,51.5833
-74.2111,40.7104
-87.6517,41.8483
151.2588,-33.9121
-80.1702,40.2713
144.9544,-37.8103
72.9,20.9667
137.4,36.8
127.6811,26.2125
139.7677,35.6427
127.6811,26.2125
139.7677,35.6427
139.7677,35.6427
141.3469,43.0642
143.2104,-33.494
-97.822,37.751
-0.3714,53.8011
149.0965,-35.1873
153.0751,-27.4616
138.5667,-35.0333
115.7368,-31.779
144.9634,-37.8139
150.7598,-34.0529
145.0694,-37.8421
151.7167,-32.9333
151.194,-33.8698
143.4667,-36.6167
149.0119,-35.2244
138.5986,-34.9287
144.9634,-37.8139
151.2055,-33.8615
152.947,-27.4138
143.2104,-33.494
151.1982,-33.8612
153.0318,-27.4571
149.0833,-35.2167
151.9086,-31.9758
149.1344,-35.276
150.8667,-33.6833
144.9544,-37.8103
151.6712,-30.5083
151.1,-33.9667
151.1668,-33.8157
151.0339,-33.872
-88.2615,41.759
151.2002,-33.8591
151.2055,-33.8615
151.1982,-33.8612
143.4667,-36.6167
153.0678,-30.3398
145.3,-37.7833
151.2055,-33.8615
